ID,Author,Title,Year
1,Chinua Achebe,Things Fall Apart,1958
2,Hans Christian Andersen,Fairy tales,1836
3,Dante Alighieri,The Divine Comedy,1315
4,Unknown,The Epic Of Gilgamesh,-1700
5,Unknown,The Book Of Job,-600
6,Unknown,One Thousand and One Nights,1200
7,Unknown,Njál's Saga,1350
8,Jane Austen,Pride and Prejudice,1813
9,Honoré de Balzac,Le Père Goriot,1835
10,Samuel Beckett,"Molloy, Malone Dies, The Unnamable, the trilogy",1952
11,Giovanni Boccaccio,The Decameron,1351
12,Jorge Luis Borges,Ficciones,1965
13,Emily Brontë,Wuthering Heights,1847
14,Albert Camus,The Stranger,1942
15,Paul Celan,Poems,1952
16,Louis-Ferdinand Céline,Journey to the End of the Night,1932
17,Miguel de Cervantes,Don Quijote De La Mancha,1610
18,Geoffrey Chaucer,The Canterbury Tales,1450
19,Anton Chekhov,Stories,1886
20,Joseph Conrad,Nostromo,1904
21,Charles Dickens,Great Expectations,1861
22,Denis Diderot,Jacques the Fatalist,1796
23,Alfred Döblin,Berlin Alexanderplatz,1929
24,Fyodor Dostoevsky,Crime and Punishment,1866
25,Fyodor Dostoevsky,The Idiot,1869
26,Fyodor Dostoevsky,The Possessed,1872
27,Fyodor Dostoevsky,The Brothers Karamazov,1880
28,George Eliot,Middlemarch,1871
29,Ralph Ellison,Invisible Man,1952
30,Euripides,Medea,-431
31,William Faulkner,"Absalom, Absalom!",1936
32,William Faulkner,The Sound and the Fury,1929
33,Gustave Flaubert,Madame Bovary,1857
34,Gustave Flaubert,Sentimental Education,1869
35,Federico García Lorca,Gypsy Ballads,1928
36,Gabriel García Márquez,One Hundred Years of Solitude,1967
37,Gabriel García Márquez,Love in the Time of Cholera,1985
38,Johann Wolfgang von Goethe,Faust,1832
39,Nikolai Gogol,Dead Souls,1842
40,Günter Grass,The Tin Drum,1959
41,João Guimarães Rosa,The Devil to Pay in the Backlands,1956
42,Knut Hamsun,Hunger,1890
43,Ernest Hemingway,The Old Man and the Sea,1952
44,Homer,Iliad,-735
45,Homer,Odyssey,-800
46,Henrik Ibsen,A Doll's House,1879
47,James Joyce,Ulysses,1922
48,Franz Kafka,Stories,1924
49,Franz Kafka,The Trial,1925
50,Franz Kafka,The Castle,1926
